2026-09-19T20:42:47.707 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.708 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.708 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.708 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.709 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.709 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.709 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.710 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.710 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.710 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.711 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.711 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.711 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.712 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.712 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.712 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.713 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.713 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.713 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.714 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.714 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.714 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.715 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.715 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.715 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.716 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.716 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.716 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.717 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.717 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.717 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.717 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.718 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.718 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.718 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.719 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.719 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.719 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.719 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.720 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.720 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.720 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.721 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.721 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.721 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.722 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.722 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.722 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.722 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.723 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.723 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.723 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.724 4 T3=109.1 | E2E=112.8ms
2026-09-19T20:42:47.724 4 T3=109.1 | E2E=112.8ms
